alt,_mean_anger,_mean_disgust,_mean_fear,_mean_health,_mean_neglect,_mean_nervousness,_mean_sadness,_mean_shame,_mean_suffering,_mean_torment,_meanstd_anger,_meanstd_disgust,_meanstd_fear,_meanstd_health,_meanstd_neglect,_meanstd_nervousness,_meanstd_sadness,_meanstd_shame,_meanstd_suffering,_meanstd_torment,anger_arg_max,anger_arg_min,anger_max,anger_min,disgust_arg_max,disgust_arg_min,disgust_max,disgust_min,fear_arg_max,fear_arg_min,fear_max,fear_min,health_arg_max,health_arg_min,health_max,health_min,neglect_arg_max,neglect_arg_min,neglect_max,neglect_min,nervousness_arg_max,nervousness_arg_min,nervousness_max,nervousness_min,sadness_arg_max,sadness_arg_min,sadness_max,sadness_min,shame_arg_max,shame_arg_min,shame_max,shame_min,suffering_arg_max,suffering_arg_min,suffering_max,suffering_min,torment_arg_max,torment_arg_min,torment_max,torment_min
time_series_stress_forecast_14_7_arima_p12_errors.csv,11.79543602,25.91912621,9.654760143,25.56934084,18.9772245,10.44167906,12.61128961,11.5868095,13.00709396,10.34886702,14.96528876,25.30191284,7.946494781,23.86308115,17.60522513,10.97155069,15.93348672,10.91165429,17.39741091,8.692421435,21/03/2020,17/06/2020,95.936505,0.091817,01/06/2020,26/04/2020,118.948441,0.051473,21/03/2020,06/06/2020,47.148308,0.084249,01/06/2020,16/05/2020,110.901511,0.154626,01/06/2020,11/05/2020,76.835756,0.423049,21/03/2020,16/05/2020,59.825876,0.221766,16/03/2020,09/04/2020,121.038252,0.113998,21/03/2020,08/06/2020,55.010881,0.151435,21/03/2020,31/03/2020,113.936883,0.038169,28/03/2020,16/05/2020,43.585901,0.037606
time_series_stress_forecast_14_7_mae_rmsprop_errors.csv,4.257644575,6.301797575,5.631002885,14.53648858,5.791726364,5.961134545,6.822890003,7.280261002,4.723665308,8.572181102,3.78858591,6.807629884,5.305110011,12.94065347,3.981414955,5.331702922,5.890490962,7.102893564,4.357473635,7.06532635,21/03/2020,25/06/2020,19.12253059,0.000523862,28/03/2020,07/06/2020,32.62089701,0.182821493,02/04/2020,04/05/2020,22.85152979,0.002262917,19/06/2020,05/06/2020,45.46022924,0.051752798,21/03/2020,19/04/2020,20.25059242,0.056294317,28/03/2020,18/03/2020,29.12060963,0.067370421,10/04/2020,19/04/2020,23.07962781,0.138807585,10/04/2020,24/05/2020,28.34872881,0.114994225,21/03/2020,05/06/2020,25.17619554,0.11049752,24/03/2020,31/03/2020,37.32778967,0.0114071
time_series_stress_forecast_14_7_mae_sgd_errors.csv,5.846518012,6.645342734,5.595151385,14.56281188,7.509475662,6.390502047,6.817358001,8.297167448,6.573659163,9.680435127,5.261677341,7.324669259,4.327349219,11.70228922,5.91751452,5.419405702,5.908404239,7.37152404,5.905590109,9.638160798,24/03/2020,08/06/2020,22.06367016,0.091963316,21/03/2020,26/05/2020,34.63415895,0.20425423,07/04/2020,14/06/2020,16.95286379,0.013016785,19/06/2020,05/05/2020,49.51777995,0.30954483,23/03/2020,11/06/2020,31.24060172,0.083608438,11/04/2020,24/05/2020,21.73501265,0.053624965,10/04/2020,22/04/2020,27.73799181,0.109000458,10/04/2020,26/03/2020,32.61380156,0.021606405,23/03/2020,11/05/2020,26.90680624,0.007804129,24/03/2020,15/06/2020,52.98484519,0.143005324
time_series_stress_forecast_14_7_mse_rmsprop_errors.csv,4.166880763,6.443359389,5.465654008,13.69092906,5.115280612,6.447874763,5.647272282,8.175493771,3.685018409,6.662170315,3.96980642,7.695545806,6.023071385,13.22236886,4.70175609,6.708191964,5.042282187,8.430183445,3.597844811,5.597259914,10/04/2020,21/05/2020,19.62712314,0.007419424,28/03/2020,29/05/2020,36.29022288,0.100210405,02/04/2020,25/05/2020,28.14887015,0.1044509,03/04/2020,19/04/2020,47.73300571,0.010013333,10/04/2020,08/06/2020,22.07823477,0.139766756,11/04/2020,14/06/2020,31.66995936,0.012451431,10/04/2020,14/04/2020,23.74673507,0.116511508,16/03/2020,06/06/2020,34.71791157,0.069553499,21/03/2020,23/05/2020,17.25649208,0.039876657,24/03/2020,19/06/2020,28.52676848,0.012853283
time_series_stress_forecast_14_7_mse_sgd_errors.csv,5.623520369,6.148108278,4.653532618,14.37561826,6.217582665,5.927930651,6.460048409,7.046305424,6.678596694,10.43131449,4.947055849,8.262328299,3.859929752,11.48582849,5.139235104,6.555614348,5.694848076,7.023369918,6.791423201,12.53450519,24/03/2020,02/06/2020,22.04973017,0.261420879,21/03/2020,14/06/2020,39.35008559,0.096474914,04/04/2020,13/06/2020,18.68299298,0.02159935,19/06/2020,08/04/2020,45.32503187,0.038080478,21/03/2020,04/05/2020,28.7913737,0.072697926,20/03/2020,13/06/2020,32.75658608,0.052478193,10/04/2020,21/04/2020,26.54840745,0.112306889,10/04/2020,21/05/2020,31.29464237,0.104911001,23/03/2020,20/05/2020,35.91429104,0.058583015,24/03/2020,13/04/2020,73.36420235,0.068865112
time_series_stress_forecast_14_7_prophet_errors.csv,11.39403476,24.50355572,11.87202334,24.30452826,18.292026,10.40261351,12.31642931,12.84359799,13.31996591,13.51227963,14.74880864,22.88742701,13.31498482,21.62779666,15.06487522,10.91381329,13.35714383,15.25062029,17.37447389,16.80233654,21/03/2020,15/06/2020,95.899765,0.015114,01/06/2020,11/05/2020,116.559619,0.001119,21/03/2020,06/06/2020,85.82698,0.085902,01/06/2020,11/05/2020,108.69043,0.079488,01/06/2020,11/05/2020,74.742248,0.45924,21/03/2020,15/06/2020,59.910332,0.043407,16/03/2020,09/04/2020,80.431485,0.179465,21/03/2020,08/06/2020,106.178406,0.148383,21/03/2020,15/06/2020,113.962095,0.514646,21/03/2020,16/04/2020,112.381226,0.394443
time_series_stress_forecast_14_7_var_p12_errors.csv,7.895809848,22.07635646,8.017933962,21.79147554,15.81780182,7.499770276,8.876089648,8.507092571,9.070185657,8.937437048,6.356611733,24.46025593,6.055727207,22.83907106,15.51678045,5.989516541,6.935050892,6.644172629,7.135810408,7.169571416,21/03/2020,14/06/2020,25.160397,0.046374,27/05/2020,05/05/2020,103.69541,0.130299,04/04/2020,04/06/2020,23.534109,0.07586,27/05/2020,10/06/2020,92.352681,0.147618,27/05/2020,08/06/2020,69.89803,0.275891,22/03/2020,25/06/2020,28.76905,0.015282,22/03/2020,24/04/2020,32.866466,0.029835,21/03/2020,24/04/2020,26.620259,0.112877,21/03/2020,07/06/2020,30.03762,0.037095,30/03/2020,24/04/2020,33.139315,0.004852
time_series_stress_forecast_21_7_arima_p19_errors.csv,8.774623796,23.43671482,7.861093418,22.29055833,15.77544074,9.977372122,11.97644273,8.224021633,7.691999,10.62692321,7.381423831,24.69940783,5.852976853,22.87143408,16.69183519,8.067545353,10.82955116,6.297418546,5.903437966,8.368197564,04/04/2020,26/03/2020,38.524233,0.030396,01/06/2020,07/05/2020,111.151295,0.003046,06/04/2020,03/05/2020,33.430751,0.170396,01/06/2020,31/03/2020,104.387338,0.013866,01/06/2020,08/05/2020,71.616155,0.20497,22/03/2020,08/05/2020,42.070655,0.542003,22/03/2020,09/05/2020,46.245128,0.372789,06/04/2020,03/05/2020,34.258923,0.060857,04/04/2020,13/06/2020,26.171053,0.028667,04/04/2020,18/06/2020,42.750384,0.801738
time_series_stress_forecast_21_7_mae_rmsprop_errors.csv,4.930840578,5.04792592,4.975336273,14.87555353,5.161674698,5.723866281,6.274763844,6.084565203,4.076858006,12.66361208,4.352464663,3.209351134,4.791401016,13.1297742,3.493636659,4.42339668,6.353109084,5.48618717,3.651880672,16.18430733,24/03/2020,19/04/2020,22.48601934,0.058593096,03/04/2020,17/05/2020,13.80059948,0.062776723,02/04/2020,28/05/2020,24.01670973,0.02093255,03/06/2020,27/03/2020,53.12378376,0.520071227,23/03/2020,22/04/2020,16.81572342,0.00422011,26/03/2020,23/05/2020,21.33410404,0.199358886,10/04/2020,19/04/2020,28.17715335,0.047793474,10/04/2020,19/04/2020,28.08457472,0.013375627,24/03/2020,26/04/2020,18.10882986,0.006708853,24/03/2020,23/06/2020,86.10005907,0.048354334
time_series_stress_forecast_21_7_mae_sgd_errors.csv,6.522550342,5.41805143,5.320273467,16.19121728,6.546638817,7.069983081,7.058534624,6.511178361,6.841901526,9.687384337,6.28941102,6.980971154,4.123426469,13.37422399,5.334630598,6.130147825,6.034707777,6.32466342,6.509458898,8.164672347,24/03/2020,19/06/2020,23.87403228,0.005701842,22/03/2020,17/05/2020,40.65494592,0.01617735,07/04/2020,27/03/2020,16.94985907,0.010122994,03/06/2020,07/05/2020,50.35100094,0.075441114,23/03/2020,05/06/2020,29.9092766,0.015308234,23/03/2020,07/05/2020,26.54438395,0.008472793,10/04/2020,19/04/2020,26.57235969,0.104446284,10/04/2020,10/05/2020,32.68665902,0.162059201,23/03/2020,07/04/2020,30.99820796,0.088224761,24/03/2020,21/04/2020,47.99357428,0.148388805
